ID,Answer
TEST_000,1
TEST_001,6
TEST_002,1
TEST_003,3
TEST_004,"트로이 목마 기반 원격제어 악성코드(RAT)는 정상 프로그램으로 위장하여 사용자 시스템에 침투한 후 백그라운드에서 실행되며, 공격자가 원격으로 제어할 수 있게 합니다. 주요 특징은 지속적인 통신을 통해 명령을 수신하고 실행하는데 필요한 기능들을 제공합니다. 탐지 지표로는 의심스러운 네트워크 트래픽이 발생하면 이를 분석해야 하며, 특히 외부 서버와의 정기적이거나 비정상적으로 빈번한 연결 시도가 관찰될 수 있습니다. 또한 시스템 프로세스에 대한 비정상적인 행위 변화도 중요한 지표입니다."
TEST_005,4
TEST_006,2
TEST_007,전자금융거래법에 따라 이용자가 금융 분쟁조정을 신청할 수 있는 기관은 금융감독원과 한국소비자원입니다.
TEST_008,5
TEST_009,3
TEST_010,1
TEST_011,4
TEST_012,3
TEST_013,4
TEST_014,5
TEST_015,4
TEST_016,1
TEST_017,4
TEST_018,1
TEST_019,4
TEST_020,4
TEST_021,1
TEST_022,3
TEST_023,5
TEST_024,2
TEST_025,3
TEST_026,3
TEST_027,3
TEST_028,1
TEST_029,2
TEST_030,3
TEST_031,2
TEST_032,1
TEST_033,1
TEST_034,1
TEST_035,2
TEST_036,5
TEST_037,4
TEST_038,4
TEST_039,4
TEST_040,1
TEST_041,5
TEST_042,1
TEST_043,4
TEST_044,1
TEST_045,1
TEST_046,3
TEST_047,1
TEST_048,1
TEST_049,4
TEST_050,1
TEST_051,3
TEST_052,3
TEST_053,2
TEST_054,4
TEST_055,4
TEST_056,1
TEST_057,2
TEST_058,3
TEST_059,2
TEST_060,1
TEST_061,4
TEST_062,4
TEST_063,5
TEST_064,1
TEST_065,2
TEST_066,1
TEST_067,1
TEST_068,4
TEST_069,7
TEST_070,4
TEST_071,4
TEST_072,3
TEST_073,1
TEST_074,2
TEST_075,2
TEST_076,3
TEST_077,5
TEST_078,1
TEST_079,4
TEST_080,5
TEST_081,1
TEST_082,"딥페이크 기술 악용을 방지하기 위해 금융권은 전자금융기반시설에 대한 취약점 분석과 평가를 실시하고 그 결과를 보고해야 합니다. 또한 침해사고 발생 시 신속한 원인 분석과 피해 확산 방지 조치가 필요하며, 고객 정보 보호와 신용질서 유지를 위한 관리 책임이 요구됩니다. 혁신적인 기술 도입 시에는 금융소비자 보호 및 위험 관리 방안을 충분히 검토하여 적용해야 하며, 이에 대한 심사 기준도 마련되어 있습니다."
TEST_083,2
TEST_084,2
TEST_085,1
TEST_086,3
TEST_087,0
TEST_088,3
TEST_089,1
TEST_090,3
TEST_091,3
TEST_092,3
TEST_093,3
TEST_094,5
TEST_095,2
TEST_096,2
TEST_097,4
TEST_098,3
TEST_099,5
TEST_100,1
TEST_101,"디지털 지갑은 다양한 금융 거래를 지원하는 도구로, 이 과정에서 발생할 수 있는 여러 가지 위험 요소가 존재한다. 먼저, 접근 제어 문제와 관련하여 권한이 없거나 부적절한 사용자가 시스템에 침입해 데이터를 조작ㆍ파괴 또는 유출시키려 시도할 가능성이 높다. 또한 악성 프로그램인 컴퓨터 바이러스나 논리폭탄 등을 통해 전자금융기반시설의 운영 방해 및 정보 손실 위험도 있다. 더불어, 대량의 신호 혹은 부정 명령 처리로 인해 시스템 오류가 발생하거나 장애를 유발시킬 수 있는 공격 행위 역시 우려된"
TEST_102,"개인정보 접근 권한 검토는 조직 내 특정 직원이나 시스템이 개인정보를 접근할 수 있는지 여부와 그 수준을 평가하는 과정입니다. 이 절차에는 직무 분리 원칙 준수, 최소 권한 부여 등 다양한 보안 조치가 포함됩니다. 목적은 불필요한 정보 유출 위험을 방지하고 데이터의 무단 사용 또는 오용으로부터 보호하기 위함입니다. 또한 법적 요구사항인 개인정보 보호법에 따라 적절한 관리를 통해 정보주체의 권리와 자유를 보장하는 데 있습니다."
TEST_103,1
TEST_104,1
TEST_105,4
TEST_106,2
TEST_107,2
TEST_108,2
TEST_109,1
TEST_110,2
TEST_111,3
TEST_112,4
TEST_113,3
TEST_114,1
TEST_115,1
TEST_116,1
TEST_117,5
TEST_118,5
TEST_119,2
TEST_120,2
TEST_121,3
TEST_122,3
TEST_123,5
TEST_124,3
TEST_125,1
TEST_126,"정보보호의 3대 요소에 해당하는 보안 목표는 기밀성, 무결성, 가용성이다. 기밀성은 인가되지 않은 사용자로부터 정보가 노출되거나 접근되는 것을 방지하여 보호 대상 데이터나 시스템이 비인가자에게 노출되지 않도록 하는 특성이다. 무결성은 데이터의 정확하고 완전한 상태를 유지하며, 불법적이거나 악의적으로 변경 또는 손상으로부터 보호한다. 가용성은 인가된 사용자들이 필요할 때 언제든지 정보와 시스템을 사용할 수 있도록 보장하여 서비스 중단이나 장애로 인한"
TEST_127,5
TEST_128,2
TEST_129,1
TEST_130,3
TEST_131,"금융감독규정상, 총자산과 종업원 수 등을 고려하여 대통령령으로 정하는 기준에 따라 전자금융거래 빈도와 회사 규모가 일정 수준 이상인 경우 정보기술부문 인력 및 예산의 비율은 전체 인력 대비 최소 7%로 규정하고 있습니다"
TEST_132,1
TEST_133,2
TEST_134,1
TEST_135,2
TEST_136,3
TEST_137,4
TEST_138,1
TEST_139,1
TEST_140,1
TEST_141,1
TEST_142,3
TEST_143,1
TEST_144,3
TEST_145,5
TEST_146,3
TEST_147,1
TEST_148,2
TEST_149,3
TEST_150,0
TEST_151,4
TEST_152,4
TEST_153,2
TEST_154,3
TEST_155,4
TEST_156,3
TEST_157,2
TEST_158,3
TEST_159,2
TEST_160,3
TEST_161,1
TEST_162,1
TEST_163,1
TEST_164,2
TEST_165,2
TEST_166,2
TEST_167,0
TEST_168,3
TEST_169,2
TEST_170,2
TEST_171,3
TEST_172,4
TEST_173,3
TEST_174,4
TEST_175,3
TEST_176,2
TEST_177,2
TEST_178,2
TEST_179,2
TEST_180,1
TEST_181,3
TEST_182,"SMTP 프로토콜은 이메일 전송을 담당하는 기본 통신 규약으로, 보안상 주요 역할로는 메시지 무결성 보장과 송신자 인증이 있다. 이를 위해 STARTTLS 확장을 사용하여 통신 구간에 암호화를 적용함으로써 중간자 공격 및 데이터 변조 위험을 방지한다. 또한 SPF, DKIM, DMARC와 같은 추가적인 이메일 보안 기술들과 연동되어 스푸핑 및 피싱 공격을 차단하는 데 기여한다."
TEST_183,3
TEST_184,5
TEST_185,1
TEST_186,1
TEST_187,4
TEST_188,3
TEST_189,3
TEST_190,1
TEST_191,4
TEST_192,4
TEST_193,4
TEST_194,5
TEST_195,3
TEST_196,2
TEST_197,4
TEST_198,2
TEST_199,"ID/PW 기반 인증 환경에서 대표적으로 발생할 수 있는 공격 유형으로는 무차별 대입 공격과 피싱 공격이 있습니다.
무차별 대입 공격은 공격자가 자동화된 도구를 이용해 가능한 모든 비밀번호 조합을 시도하여 계정에 접근하려는 방식입니다. 이에 대한 대응 방안으로는 강력하고 복잡한 비밀번호 정책 적용, 다중 인증(MFA) 도입 등이 효과적일 수 있습니다.
피싱 공격의 경우에는 사용자가 신뢰할 수 없는 출처로부터 전송된 이메일이나 메시지를 통해 개인 정보나 자격 증명을 유출하도록 유도"
TEST_200,3
TEST_201,4
TEST_202,1
TEST_203,4
TEST_204,3
TEST_205,"전자자금이체의 지급 효력 발생 시점은 거래지시된 금액 정보가 수취인 계좌 개설 금융회사 또는 전자금융업자의 원장에 입금 기록이 완료되는 때로, 이 기준을 준수하도록 법적으로 규정하고 있습니다."
TEST_206,5
TEST_207,2
TEST_208,5
TEST_209,1
TEST_210,3
TEST_211,4
TEST_212,1
TEST_213,1
TEST_214,1
TEST_215,2
TEST_216,3
TEST_217,1
TEST_218,2
TEST_219,3
TEST_220,4
TEST_221,3
TEST_222,2
TEST_223,1
TEST_224,2
TEST_225,2
TEST_226,1
TEST_227,3
TEST_228,5
TEST_229,5
TEST_230,1
TEST_231,2
TEST_232,3
TEST_233,5
TEST_234,2
TEST_235,4
TEST_236,4
TEST_237,2
TEST_238,3
TEST_239,4
TEST_240,3
TEST_241,7
TEST_242,2
TEST_243,2
TEST_244,5
